JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457575.90940,16.619,0.042,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-3.935|VERR=0.020|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.47,1,1.036,Z,-6.194,-7.962,,V2492 CYG,AAVSO,STD,101,,,
2457575.91257,13.865,0.054,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.410|VERR=0.009|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.47,1,1.039,Z,-6.198,-7.345,,V2492 CYG,AAVSO,STD,101,,,
2457575.91573,15.313,0.027,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE - MAYHILL NM|VMAGINS=-5.283|VERR=0.009|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.47,1,1.042,Z,-6.922,-8.392,,V2492 CYG,AAVSO,STD,101,,,
2457576.72761,16.615,0.029,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.16,Z,16.829,17.724,,V2492 CYG,AAVSO,STD,5,,,
2457576.73220,13.904,0.008,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.15,Z,17.085,17.628,,V2492 CYG,AAVSO,STD,5,,,
2457577.72178,16.829,0.031,,V,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 13.509  K = 14.388,1,1.17,Z,16.761,17.649,,V2492 CYG,AAVSO,STD,6,,,
2457577.72638,13.942,0.008,,I,MJB,,000-BJW-834,000-BJW-835,13655AAY,STANDARD MAG: C = 12.584  K = 13.106,1,1.15,Z,16.991,17.541,,V2492 CYG,AAVSO,STD,6,,,
2457580.70428,16.799,0.052,,V,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE|VMAGINS=-3.526|VERR=0.031|CREFMAG=14.388|CREFERR=0.037|KREFMAG=12.647|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VI=-0.0190|TV_VIERR=0.0250|TAVER=2.47,1,1.399,Z,-5.968,-7.714,,V2492 CYG,AAVSO,STD,101,,,
2457580.71161,13.859,0.068,,I,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE|VMAGINS=-5.269|VERR=0.012|CREFMAG=13.106|CREFERR=0.043|KREFMAG=12.006|KREFERR=0.032|VX=0.0000|CX=0.0000|KX=0.0000|TVI=1.0010|TVIERR=0.0180|TAVER=2.47,1,1.352,Z,-6.055,-7.167,,V2492 CYG,AAVSO,STD,101,,,
2457580.71476,15.321,0.031,,R,MGW,,000-BJW-835,000-BJW-832,X15357IY,T21 - ITELESCOPE|VMAGINS=-5.009|VERR=0.012|CREFMAG=13.761|CREFERR=0.040|KREFMAG=12.338|KREFERR=0.028|VX=0.0000|CX=0.0000|KX=0.0000|TR_VI=-0.0590|TR_VIERR=0.0170|TAVER=2.47,1,1.339,Z,-6.667,-8.136,,V2492 CYG,AAVSO,STD,101,,,
